Designator,Footprint,Quantity,Value,LCSC Part #
"AD1, AD3",EC Buying AD5593,2,~,
ATOMS1,ATOM_S3,1,~,
"J1, J2",Pins_2x05_2.54mm_TH,2,Pins_02x05,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0805,16,R_US,
